event_date,user_id,score
2020-01-01 19:00:51,290067447,8
2020-01-02 17:34:43,223014806,10
2020-01-02 19:11:55,187864388,10
2020-01-02 19:27:00,318758952,8
2020-01-02 21:42:19,189933311,0
2020-01-03 11:16:31,330567621,10
2020-01-03 13:39:37,328780701,6
2020-01-03 15:01:50,248644181,7
2020-01-03 15:46:51,289215768,7
2020-01-03 17:14:46,330443981,9
2020-01-03 19:28:32,199708901,10
2020-01-04 00:28:58,330791521,5
2020-01-04 04:12:06,289215950,9
2020-01-04 09:34:06,274775967,7
2020-01-04 15:55:13,330968308,9
2020-01-05 00:59:49,331123866,10
2020-01-05 01:56:03,289216676,8
2020-01-05 05:10:34,289217209,10
2020-01-05 07:00:55,330447284,10
2020-01-05 13:48:44,282032213,10
2020-01-05 14:22:09,290948000,9
2020-01-05 16:15:52,331283248,9
2020-01-05 17:19:50,201569324,9
2020-01-05 20:46:25,280925639,10
2020-01-05 21:29:53,188654385,8
2020-01-06 01:46:05,331418435,10
2020-01-06 03:40:50,330868367,10
2020-01-06 12:27:26,331516391,9
2020-01-06 13:53:30,331520741,10
2020-01-06 14:49:44,331498368,9
2020-01-06 16:05:18,291593867,9
2020-01-06 16:58:07,331558909,7
2020-01-06 21:56:43,281630999,10
2020-01-06 22:54:53,289216027,10
2020-01-07 13:50:00,272064813,8
2020-01-07 17:55:24,189932592,7
2020-01-07 19:27:25,289215817,10
2020-01-07 23:31:32,331531463,6
2020-01-08 23:04:09,332230660,10
2020-01-09 16:06:50,332514552,6
2020-01-09 16:16:48,201569192,7
2020-01-09 19:32:13,223014402,8
2020-01-09 19:52:27,332501579,8
2020-01-09 21:09:35,289216678,2
2020-01-09 21:18:35,291406151,9
2020-01-09 22:17:00,201569529,9
2020-01-10 07:36:54,332886928,8
2020-01-10 08:33:21,154054094,8
2020-01-10 11:15:54,212962736,8
2020-01-10 21:06:00,289217023,8
2020-01-11 06:37:30,333354829,10
2020-01-11 11:08:22,289219098,10
2020-01-11 12:09:18,189932258,10
2020-01-11 12:17:40,189933109,10
2020-01-11 12:20:09,189933421,10
2020-01-11 12:20:38,189933608,10
2020-01-11 12:21:16,189933783,10
2020-01-11 12:21:33,189933404,10
2020-01-11 12:21:50,189932490,10
2020-01-11 12:25:49,189932700,10
2020-01-11 12:26:04,189932376,10
2020-01-11 12:27:12,189933324,10
2020-01-11 12:28:49,189932611,10
2020-01-11 12:29:01,189932613,10
2020-01-11 12:33:03,189932804,10
2020-01-11 12:37:04,94145022,10
2020-01-11 12:38:30,189933727,7
2020-01-11 12:40:31,189932898,7
2020-01-11 12:52:06,189931955,8
2020-01-11 12:52:10,189933761,10
2020-01-11 12:53:39,189932071,8
2020-01-11 13:00:44,189935626,10
2020-01-11 13:02:26,130343140,7
2020-01-11 13:04:42,189933157,10
2020-01-11 13:04:52,189933776,10
2020-01-11 13:07:38,189932991,9
2020-01-11 13:15:30,189932491,10
2020-01-11 13:16:15,189932839,10
2020-01-11 13:16:38,189932436,9
2020-01-11 13:18:22,189933319,10
2020-01-11 13:28:17,189932522,8
2020-01-11 13:36:52,189932310,2
2020-01-11 13:38:38,289216018,10
2020-01-11 13:39:32,101675422,10
2020-01-11 13:40:27,189940478,5
2020-01-11 13:44:47,189935694,8
2020-01-11 13:45:29,70444671,10
2020-01-11 13:47:56,132296312,9
2020-01-11 13:54:08,156054901,8
2020-01-11 13:58:19,189932753,10
2020-01-11 13:59:56,189942550,6
2020-01-11 14:02:22,129774382,7
2020-01-11 14:11:41,97359791,7
2020-01-11 14:13:55,189934686,10
2020-01-11 14:15:52,154291621,10
2020-01-11 14:20:52,189931832,10
2020-01-11 14:34:33,189932157,10
2020-01-11 14:39:11,189933402,10
2020-01-11 14:43:00,189953989,10
2020-01-11 14:51:55,135415288,9
2020-01-11 14:58:36,112065981,10
2020-01-11 15:05:33,111243261,10
2020-01-11 15:08:03,189932154,8
2020-01-11 15:08:56,189932742,10
2020-01-11 15:10:41,189940418,8
2020-01-11 15:12:33,189953622,10
2020-01-11 15:14:07,189933599,10
2020-01-11 15:15:07,129764543,10
2020-01-11 15:15:39,333447146,8
2020-01-11 15:25:09,189933929,7
2020-01-11 15:41:57,137922282,10
2020-01-11 15:43:22,189932404,10
2020-01-11 15:50:32,128455593,10
2020-01-11 16:07:15,128811984,10
2020-01-11 16:07:35,189933751,8
2020-01-11 16:29:56,129961274,10
2020-01-11 17:02:56,97631121,10
2020-01-11 17:16:08,64063508,9
2020-01-11 17:29:28,130261270,4
2020-01-11 18:18:27,189953849,6
2020-01-11 18:36:07,189932313,10
2020-01-11 18:42:37,147804440,10
2020-01-11 18:42:56,189935427,9
2020-01-11 18:45:59,189933578,5
2020-01-11 19:43:10,189931899,10
2020-01-11 19:50:50,189932552,10
2020-01-11 19:52:41,112201113,0
2020-01-11 20:16:17,189931864,10
2020-01-11 20:41:41,289216734,10
2020-01-11 20:50:09,189932506,10
2020-01-11 21:56:38,97734938,10
2020-01-11 22:03:22,156217542,7
2020-01-11 22:09:23,129901039,10
2020-01-11 23:01:47,189932242,10
2020-01-12 00:03:35,218335785,10
2020-01-12 00:20:13,131378371,10
2020-01-12 00:34:21,108721058,4
2020-01-12 00:36:28,190122302,8
2020-01-12 00:43:40,333708471,10
2020-01-12 00:46:45,189933193,10
2020-01-12 00:49:31,190122940,9
2020-01-12 00:52:46,189932918,10
2020-01-12 01:04:38,189932523,8
2020-01-12 01:15:12,116420459,9
2020-01-12 01:58:04,189933794,9
2020-01-12 04:21:47,112475963,9
2020-01-12 07:43:12,190122872,0
2020-01-12 08:51:13,98805932,10
2020-01-12 10:35:03,108676506,7
2020-01-12 13:31:29,190182332,10
2020-01-12 16:01:50,189936576,10
2020-01-12 17:21:12,189932627,8
2020-01-12 20:41:52,100096803,5
2020-01-12 23:25:34,64063311,9
2020-01-13 00:27:32,333994269,10
2020-01-13 06:49:18,189932631,10
2020-01-13 09:53:54,190377658,10
2020-01-13 12:51:13,334153720,10
2020-01-13 14:54:00,67110890,9
2020-01-13 15:02:21,189932634,10
2020-01-13 21:01:06,189932851,8
2020-01-14 06:36:20,140398485,9
2020-01-14 06:39:40,334416588,10
2020-01-14 09:32:08,324050455,2
2020-01-14 09:48:29,137565406,5
2020-01-14 09:55:59,202037019,10
2020-01-14 10:00:30,101310346,8
2020-01-14 10:37:24,189932568,9
2020-01-14 13:53:38,190640894,10
2020-01-14 14:58:43,202015927,8
2020-01-14 15:51:23,334472099,8
2020-01-14 17:35:32,324957360,9
2020-01-14 18:11:25,190639915,10
